"CLDR Short Name";"Code";"Browser"
"police officer: dark skin tone";"U+1F46E U+1F3FF";"👮🏿"
"man police officer";"U+1F46E U+200D U+2642 U+FE0F";"👮
♂️"
"man police officer: light skin tone";"U+1F46E U+1F3FB U+200D U+2642 U+FE0F";"👮🏻
♂️"
"man police officer: medium-light skin tone";"U+1F46E U+1F3FC U+200D U+2642 U+FE0F";"👮🏼
♂️"
"man police officer: medium skin tone";"U+1F46E U+1F3FD U+200D U+2642 U+FE0F";"👮🏽
♂️"
"man police officer: medium-dark skin tone";"U+1F46E U+1F3FE U+200D U+2642 U+FE0F";"👮🏾
♂️"
"man police officer: dark skin tone";"U+1F46E U+1F3FF U+200D U+2642 U+FE0F";"👮🏿
♂️"
"woman police officer";"U+1F46E U+200D U+2640 U+FE0F";"👮
♀️"
"woman police officer: light skin tone";"U+1F46E U+1F3FB U+200D U+2640 U+FE0F";"👮🏻
♀️"
"woman police officer: medium-light skin tone";"U+1F46E U+1F3FC U+200D U+2640 U+FE0F";"👮🏼
♀️"
"woman police officer: medium skin tone";"U+1F46E U+1F3FD U+200D U+2640 U+FE0F";"👮🏽
♀️"
"woman police officer: medium-dark skin tone";"U+1F46E U+1F3FE U+200D U+2640 U+FE0F";"👮🏾
♀️"
"woman police officer: dark skin tone";"U+1F46E U+1F3FF U+200D U+2640 U+FE0F";"👮🏿
♀️"
"detective";"U+1F575";"🕵"
"detective: light skin tone";"U+1F575 U+1F3FB";"🕵🏻"
"detective: medium-light skin tone";"U+1F575 U+1F3FC";"🕵🏼"
"detective: medium skin tone";"U+1F575 U+1F3FD";"🕵🏽"
"detective: medium-dark skin tone";"U+1F575 U+1F3FE";"🕵🏾"
"detective: dark skin tone";"U+1F575 U+1F3FF";"🕵🏿"
"man detective";"U+1F575 U+FE0F U+200D U+2642 U+FE0F";"🕵️
♂️"
"man detective: light skin tone";"U+1F575 U+1F3FB U+200D U+2642 U+FE0F";"🕵🏻
♂️"
"man detective: medium-light skin tone";"U+1F575 U+1F3FC U+200D U+2642 U+FE0F";"🕵🏼
♂️"
"man detective: medium skin tone";"U+1F575 U+1F3FD U+200D U+2642 U+FE0F";"🕵🏽
♂️"
"man detective: medium-dark skin tone";"U+1F575 U+1F3FE U+200D U+2642 U+FE0F";"🕵🏾
♂️"
"man detective: dark skin tone";"U+1F575 U+1F3FF U+200D U+2642 U+FE0F";"🕵🏿
♂️"
"woman detective";"U+1F575 U+FE0F U+200D U+2640 U+FE0F";"🕵️
♀️"
"woman detective: light skin tone";"U+1F575 U+1F3FB U+200D U+2640 U+FE0F";"🕵🏻
♀️"
"woman detective: medium-light skin tone";"U+1F575 U+1F3FC U+200D U+2640 U+FE0F";"🕵🏼
♀️"
"woman detective: medium skin tone";"U+1F575 U+1F3FD U+200D U+2640 U+FE0F";"🕵🏽
♀️"
"woman detective: medium-dark skin tone";"U+1F575 U+1F3FE U+200D U+2640 U+FE0F";"🕵🏾
♀️"
"woman detective: dark skin tone";"U+1F575 U+1F3FF U+200D U+2640 U+FE0F";"🕵🏿
♀️"
"guard";"U+1F482";"💂"
"guard: light skin tone";"U+1F482 U+1F3FB";"💂🏻"
"guard: medium-light skin tone";"U+1F482 U+1F3FC";"💂🏼"
"guard: medium skin tone";"U+1F482 U+1F3FD";"💂🏽"
"guard: medium-dark skin tone";"U+1F482 U+1F3FE";"💂🏾"
"guard: dark skin tone";"U+1F482 U+1F3FF";"💂🏿"
"man guard";"U+1F482 U+200D U+2642 U+FE0F";"💂
♂️"
"man guard: light skin tone";"U+1F482 U+1F3FB U+200D U+2642 U+FE0F";"💂🏻
♂️"
"man guard: medium-light skin tone";"U+1F482 U+1F3FC U+200D U+2642 U+FE0F";"💂🏼
♂️"
"man guard: medium skin tone";"U+1F482 U+1F3FD U+200D U+2642 U+FE0F";"💂🏽
♂️"
"man guard: medium-dark skin tone";"U+1F482 U+1F3FE U+200D U+2642 U+FE0F";"💂🏾
♂️"
"man guard: dark skin tone";"U+1F482 U+1F3FF U+200D U+2642 U+FE0F";"💂🏿
♂️"
"woman guard";"U+1F482 U+200D U+2640 U+FE0F";"💂
♀️"
"woman guard: light skin tone";"U+1F482 U+1F3FB U+200D U+2640 U+FE0F";"💂🏻
♀️"
"woman guard: medium-light skin tone";"U+1F482 U+1F3FC U+200D U+2640 U+FE0F";"💂🏼
♀️"
"woman guard: medium skin tone";"U+1F482 U+1F3FD U+200D U+2640 U+FE0F";"💂🏽
♀️"
"woman guard: medium-dark skin tone";"U+1F482 U+1F3FE U+200D U+2640 U+FE0F";"💂🏾
♀️"
"woman guard: dark skin tone";"U+1F482 U+1F3FF U+200D U+2640 U+FE0F";"💂🏿
♀️"
"construction worker";"U+1F477";"👷"
"construction worker: light skin tone";"U+1F477 U+1F3FB";"👷🏻"
"construction worker: medium-light skin tone";"U+1F477 U+1F3FC";"👷🏼"
"construction worker: medium skin tone";"U+1F477 U+1F3FD";"👷🏽"
"construction worker: medium-dark skin tone";"U+1F477 U+1F3FE";"👷🏾"
"construction worker: dark skin tone";"U+1F477 U+1F3FF";"👷🏿"
"man construction worker";"U+1F477 U+200D U+2642 U+FE0F";"👷
♂️"
"man construction worker: light skin tone";"U+1F477 U+1F3FB U+200D U+2642 U+FE0F";"👷🏻
♂️"
"man construction worker: medium-light skin tone";"U+1F477 U+1F3FC U+200D U+2642 U+FE0F";"👷🏼
♂️"
"man construction worker: medium skin tone";"U+1F477 U+1F3FD U+200D U+2642 U+FE0F";"👷🏽
♂️"
"man construction worker: medium-dark skin tone";"U+1F477 U+1F3FE U+200D U+2642 U+FE0F";"👷🏾
♂️"
"man construction worker: dark skin tone";"U+1F477 U+1F3FF U+200D U+2642 U+FE0F";"👷🏿
♂️"
"woman construction worker";"U+1F477 U+200D U+2640 U+FE0F";"👷
♀️"
"woman construction worker: light skin tone";"U+1F477 U+1F3FB U+200D U+2640 U+FE0F";"👷🏻
♀️"
"woman construction worker: medium-light skin tone";"U+1F477 U+1F3FC U+200D U+2640 U+FE0F";"👷🏼
♀️"
"woman construction worker: medium skin tone";"U+1F477 U+1F3FD U+200D U+2640 U+FE0F";"👷🏽
♀️"
"woman construction worker: medium-dark skin tone";"U+1F477 U+1F3FE U+200D U+2640 U+FE0F";"👷🏾
♀️"
"woman construction worker: dark skin tone";"U+1F477 U+1F3FF U+200D U+2640 U+FE0F";"👷🏿
♀️"
"prince";"U+1F934";"🤴"
"prince: light skin tone";"U+1F934 U+1F3FB";"🤴🏻"
"prince: medium-light skin tone";"U+1F934 U+1F3FC";"🤴🏼"
"prince: medium skin tone";"U+1F934 U+1F3FD";"🤴🏽"
"prince: medium-dark skin tone";"U+1F934 U+1F3FE";"🤴🏾"
"prince: dark skin tone";"U+1F934 U+1F3FF";"🤴🏿"
"princess";"U+1F478";"👸"
"princess: light skin tone";"U+1F478 U+1F3FB";"👸🏻"
"princess: medium-light skin tone";"U+1F478 U+1F3FC";"👸🏼"
"princess: medium skin tone";"U+1F478 U+1F3FD";"👸🏽"
"princess: medium-dark skin tone";"U+1F478 U+1F3FE";"👸🏾"
"princess: dark skin tone";"U+1F478 U+1F3FF";"👸🏿"
"person wearing turban";"U+1F473";"👳"
"person wearing turban: light skin tone";"U+1F473 U+1F3FB";"👳🏻"
"person wearing turban: medium-light skin tone";"U+1F473 U+1F3FC";"👳🏼"
"person wearing turban: medium skin tone";"U+1F473 U+1F3FD";"👳🏽"
"person wearing turban: medium-dark skin tone";"U+1F473 U+1F3FE";"👳🏾"
"person wearing turban: dark skin tone";"U+1F473 U+1F3FF";"👳🏿"
"man wearing turban";"U+1F473 U+200D U+2642 U+FE0F";"👳
♂️"
"man wearing turban: light skin tone";"U+1F473 U+1F3FB U+200D U+2642 U+FE0F";"👳🏻
♂️"
"man wearing turban: medium-light skin tone";"U+1F473 U+1F3FC U+200D U+2642 U+FE0F";"👳🏼
♂️"
"man wearing turban: medium skin tone";"U+1F473 U+1F3FD U+200D U+2642 U+FE0F";"👳🏽
♂️"
"man wearing turban: medium-dark skin tone";"U+1F473 U+1F3FE U+200D U+2642 U+FE0F";"👳🏾
♂️"
"man wearing turban: dark skin tone";"U+1F473 U+1F3FF U+200D U+2642 U+FE0F";"👳🏿
♂️"
"woman wearing turban";"U+1F473 U+200D U+2640 U+FE0F";"👳
♀️"
"woman wearing turban: light skin tone";"U+1F473 U+1F3FB U+200D U+2640 U+FE0F";"👳🏻
♀️"
"woman wearing turban: medium-light skin tone";"U+1F473 U+1F3FC U+200D U+2640 U+FE0F";"👳🏼
♀️"
"woman wearing turban: medium skin tone";"U+1F473 U+1F3FD U+200D U+2640 U+FE0F";"👳🏽
♀️"
"woman wearing turban: medium-dark skin tone";"U+1F473 U+1F3FE U+200D U+2640 U+FE0F";"👳🏾
♀️"
"woman wearing turban: dark skin tone";"U+1F473 U+1F3FF U+200D U+2640 U+FE0F";"👳🏿
♀️"
"man with Chinese cap";"U+1F472";"👲"
"man with Chinese cap: light skin tone";"U+1F472 U+1F3FB";"👲🏻"
"man with Chinese cap: medium-light skin tone";"U+1F472 U+1F3FC";"👲🏼"
"man with Chinese cap: medium skin tone";"U+1F472 U+1F3FD";"👲🏽"
"man with Chinese cap: medium-dark skin tone";"U+1F472 U+1F3FE";"👲🏾"
"man with Chinese cap: dark skin tone";"U+1F472 U+1F3FF";"👲🏿"
"⊛ woman with headscarf";"U+1F9D5";"🧕"
"⊛ woman with headscarf: light skin tone";"U+1F9D5 U+1F3FB";"🧕🏻"
"⊛ woman with headscarf: medium-light skin tone";"U+1F9D5 U+1F3FC";"🧕🏼"
"⊛ woman with headscarf: medium skin tone";"U+1F9D5 U+1F3FD";"🧕🏽"
"⊛ woman with headscarf: medium-dark skin tone";"U+1F9D5 U+1F3FE";"🧕🏾"
"⊛ woman with headscarf: dark skin tone";"U+1F9D5 U+1F3FF";"🧕🏿"
"⊛ bearded person";"U+1F9D4";"🧔"
"⊛ bearded person: light skin tone";"U+1F9D4 U+1F3FB";"🧔🏻"
"⊛ bearded person: medium-light skin tone";"U+1F9D4 U+1F3FC";"🧔🏼"
"⊛ bearded person: medium skin tone";"U+1F9D4 U+1F3FD";"🧔🏽"
"⊛ bearded person: medium-dark skin tone";"U+1F9D4 U+1F3FE";"🧔🏾"
"⊛ bearded person: dark skin tone";"U+1F9D4 U+1F3FF";"🧔🏿"
"blond-haired person";"U+1F471";"👱"
"blond-haired person: light skin tone";"U+1F471 U+1F3FB";"👱🏻"
"blond-haired person: medium-light skin tone";"U+1F471 U+1F3FC";"👱🏼"
"blond-haired person: medium skin tone";"U+1F471 U+1F3FD";"👱🏽"
"blond-haired person: medium-dark skin tone";"U+1F471 U+1F3FE";"👱🏾"
"blond-haired person: dark skin tone";"U+1F471 U+1F3FF";"👱🏿"
"blond-haired man";"U+1F471 U+200D U+2642 U+FE0F";"👱
♂️"
"blond-haired man: light skin tone";"U+1F471 U+1F3FB U+200D U+2642 U+FE0F";"👱🏻
♂️"
"blond-haired man: medium-light skin tone";"U+1F471 U+1F3FC U+200D U+2642 U+FE0F";"👱🏼
♂️"
"blond-haired man: medium skin tone";"U+1F471 U+1F3FD U+200D U+2642 U+FE0F";"👱🏽
♂️"
"blond-haired man: medium-dark skin tone";"U+1F471 U+1F3FE U+200D U+2642 U+FE0F";"👱🏾
♂️"
"blond-haired man: dark skin tone";"U+1F471 U+1F3FF U+200D U+2642 U+FE0F";"👱🏿
♂️"
"blond-haired woman";"U+1F471 U+200D U+2640 U+FE0F";"👱
♀️"
"blond-haired woman: light skin tone";"U+1F471 U+1F3FB U+200D U+2640 U+FE0F";"👱🏻
♀️"
"blond-haired woman: medium-light skin tone";"U+1F471 U+1F3FC U+200D U+2640 U+FE0F";"👱🏼
♀️"
"blond-haired woman: medium skin tone";"U+1F471 U+1F3FD U+200D U+2640 U+FE0F";"👱🏽
♀️"
"blond-haired woman: medium-dark skin tone";"U+1F471 U+1F3FE U+200D U+2640 U+FE0F";"👱🏾
♀️"
"blond-haired woman: dark skin tone";"U+1F471 U+1F3FF U+200D U+2640 U+FE0F";"👱🏿
♀️"
"man in tuxedo";"U+1F935";"🤵"
"man in tuxedo: light skin tone";"U+1F935 U+1F3FB";"🤵🏻"
"man in tuxedo: medium-light skin tone";"U+1F935 U+1F3FC";"🤵🏼"
"man in tuxedo: medium skin tone";"U+1F935 U+1F3FD";"🤵🏽"
"man in tuxedo: medium-dark skin tone";"U+1F935 U+1F3FE";"🤵🏾"
"man in tuxedo: dark skin tone";"U+1F935 U+1F3FF";"🤵🏿"
"bride with veil";"U+1F470";"👰"
"bride with veil: light skin tone";"U+1F470 U+1F3FB";"👰🏻"
"bride with veil: medium-light skin tone";"U+1F470 U+1F3FC";"👰🏼"
"bride with veil: medium skin tone";"U+1F470 U+1F3FD";"👰🏽"
"bride with veil: medium-dark skin tone";"U+1F470 U+1F3FE";"👰🏾"
"bride with veil: dark skin tone";"U+1F470 U+1F3FF";"👰🏿"
"pregnant woman";"U+1F930";"🤰"
"pregnant woman: light skin tone";"U+1F930 U+1F3FB";"🤰🏻"
"pregnant woman: medium-light skin tone";"U+1F930 U+1F3FC";"🤰🏼"
"pregnant woman: medium skin tone";"U+1F930 U+1F3FD";"🤰🏽"
"pregnant woman: medium-dark skin tone";"U+1F930 U+1F3FE";"🤰🏾"
"pregnant woman: dark skin tone";"U+1F930 U+1F3FF";"🤰🏿"
"⊛ breast-feeding";"U+1F931";"🤱"
"⊛ breast-feeding: light skin tone";"U+1F931 U+1F3FB";"🤱🏻"
"⊛ breast-feeding: medium-light skin tone";"U+1F931 U+1F3FC";"🤱🏼"
"⊛ breast-feeding: medium skin tone";"U+1F931 U+1F3FD";"🤱🏽"
"⊛ breast-feeding: medium-dark skin tone";"U+1F931 U+1F3FE";"🤱🏾"
"⊛ breast-feeding: dark skin tone";"U+1F931 U+1F3FF";"🤱🏿"
"baby angel";"U+1F47C";"👼"
"baby angel: light skin tone";"U+1F47C U+1F3FB";"👼🏻"
"baby angel: medium-light skin tone";"U+1F47C U+1F3FC";"👼🏼"
"baby angel: medium skin tone";"U+1F47C U+1F3FD";"👼🏽"
"baby angel: medium-dark skin tone";"U+1F47C U+1F3FE";"👼🏾"
"baby angel: dark skin tone";"U+1F47C U+1F3FF";"👼🏿"
"Santa Claus";"U+1F385";"🎅"
"Santa Claus: light skin tone";"U+1F385 U+1F3FB";"🎅🏻"
"Santa Claus: medium-light skin tone";"U+1F385 U+1F3FC";"🎅🏼"
"Santa Claus: medium skin tone";"U+1F385 U+1F3FD";"🎅🏽"
"Santa Claus: medium-dark skin tone";"U+1F385 U+1F3FE";"🎅🏾"
"Santa Claus: dark skin tone";"U+1F385 U+1F3FF";"🎅🏿"
"Mrs. Claus";"U+1F936";"🤶"
"Mrs. Claus: light skin tone";"U+1F936 U+1F3FB";"🤶🏻"
"Mrs. Claus: medium-light skin tone";"U+1F936 U+1F3FC";"🤶🏼"
"Mrs. Claus: medium skin tone";"U+1F936 U+1F3FD";"🤶🏽"
"Mrs. Claus: medium-dark skin tone";"U+1F936 U+1F3FE";"🤶🏾"
"Mrs. Claus: dark skin tone";"U+1F936 U+1F3FF";"🤶🏿"
"⊛ mage";"U+1F9D9";"🧙"
"⊛ mage: light skin tone";"U+1F9D9 U+1F3FB";"🧙🏻"
"⊛ mage: medium-light skin tone";"U+1F9D9 U+1F3FC";"🧙🏼"
"⊛ mage: medium skin tone";"U+1F9D9 U+1F3FD";"🧙🏽"
"⊛ mage: medium-dark skin tone";"U+1F9D9 U+1F3FE";"🧙🏾"
"⊛ mage: dark skin tone";"U+1F9D9 U+1F3FF";"🧙🏿"
"⊛ woman mage";"U+1F9D9 U+200D U+2640 U+FE0F";"🧙
♀️"
"⊛ woman mage: light skin tone";"U+1F9D9 U+1F3FB U+200D U+2640 U+FE0F";"🧙🏻
♀️"
"⊛ woman mage: medium-light skin tone";"U+1F9D9 U+1F3FC U+200D U+2640 U+FE0F";"🧙🏼
♀️"
"⊛ woman mage: medium skin tone";"U+1F9D9 U+1F3FD U+200D U+2640 U+FE0F";"🧙🏽
♀️"
"⊛ woman mage: medium-dark skin tone";"U+1F9D9 U+1F3FE U+200D U+2640 U+FE0F";"🧙🏾
♀️"
"⊛ woman mage: dark skin tone";"U+1F9D9 U+1F3FF U+200D U+2640 U+FE0F";"🧙🏿
♀️"
"⊛ man mage";"U+1F9D9 U+200D U+2642 U+FE0F";"🧙
♂️"
"⊛ man mage: light skin tone";"U+1F9D9 U+1F3FB U+200D U+2642 U+FE0F";"🧙🏻
♂️"
"⊛ man mage: medium-light skin tone";"U+1F9D9 U+1F3FC U+200D U+2642 U+FE0F";"🧙🏼
♂️"
"⊛ man mage: medium skin tone";"U+1F9D9 U+1F3FD U+200D U+2642 U+FE0F";"🧙🏽
♂️"
"⊛ man mage: medium-dark skin tone";"U+1F9D9 U+1F3FE U+200D U+2642 U+FE0F";"🧙🏾
♂️"
"⊛ man mage: dark skin tone";"U+1F9D9 U+1F3FF U+200D U+2642 U+FE0F";"🧙🏿
♂️"
"⊛ fairy";"U+1F9DA";"🧚"
"⊛ fairy: light skin tone";"U+1F9DA U+1F3FB";"🧚🏻"
"⊛ fairy: medium-light skin tone";"U+1F9DA U+1F3FC";"🧚🏼"
"⊛ fairy: medium skin tone";"U+1F9DA U+1F3FD";"🧚🏽"
"⊛ fairy: medium-dark skin tone";"U+1F9DA U+1F3FE";"🧚🏾"
"⊛ fairy: dark skin tone";"U+1F9DA U+1F3FF";"🧚🏿"
"⊛ woman fairy";"U+1F9DA U+200D U+2640 U+FE0F";"🧚
♀️"
"⊛ woman fairy: light skin tone";"U+1F9DA U+1F3FB U+200D U+2640 U+FE0F";"🧚🏻
♀️"
"⊛ woman fairy: medium-light skin tone";"U+1F9DA U+1F3FC U+200D U+2640 U+FE0F";"🧚🏼
♀️"
"⊛ woman fairy: medium skin tone";"U+1F9DA U+1F3FD U+200D U+2640 U+FE0F";"🧚🏽
♀️"
"⊛ woman fairy: medium-dark skin tone";"U+1F9DA U+1F3FE U+200D U+2640 U+FE0F";"🧚🏾
♀️"
"⊛ woman fairy: dark skin tone";"U+1F9DA U+1F3FF U+200D U+2640 U+FE0F";"🧚🏿
♀️"
"⊛ man fairy";"U+1F9DA U+200D U+2642 U+FE0F";"🧚
♂️"
"⊛ man fairy: light skin tone";"U+1F9DA U+1F3FB U+200D U+2642 U+FE0F";"🧚🏻
♂️"
"⊛ man fairy: medium-light skin tone";"U+1F9DA U+1F3FC U+200D U+2642 U+FE0F";"🧚🏼
♂️"
"⊛ man fairy: medium skin tone";"U+1F9DA U+1F3FD U+200D U+2642 U+FE0F";"🧚🏽
♂️"
"⊛ man fairy: medium-dark skin tone";"U+1F9DA U+1F3FE U+200D U+2642 U+FE0F";"🧚🏾
♂️"
"⊛ man fairy: dark skin tone";"U+1F9DA U+1F3FF U+200D U+2642 U+FE0F";"🧚🏿
♂️"
"⊛ vampire";"U+1F9DB";"🧛"
"⊛ vampire: light skin tone";"U+1F9DB U+1F3FB";"🧛🏻"
"⊛ vampire: medium-light skin tone";"U+1F9DB U+1F3FC";"🧛🏼"
"⊛ vampire: medium skin tone";"U+1F9DB U+1F3FD";"🧛🏽"
"⊛ vampire: medium-dark skin tone";"U+1F9DB U+1F3FE";"🧛🏾"
"⊛ vampire: dark skin tone";"U+1F9DB U+1F3FF";"🧛🏿"
"⊛ woman vampire";"U+1F9DB U+200D U+2640 U+FE0F";"🧛
♀️"
"⊛ woman vampire: light skin tone";"U+1F9DB U+1F3FB U+200D U+2640 U+FE0F";"🧛🏻
♀️"
"⊛ woman vampire: medium-light skin tone";"U+1F9DB U+1F3FC U+200D U+2640 U+FE0F";"🧛🏼
♀️"
"⊛ woman vampire: medium skin tone";"U+1F9DB U+1F3FD U+200D U+2640 U+FE0F";"🧛🏽
♀️"
"⊛ woman vampire: medium-dark skin tone";"U+1F9DB U+1F3FE U+200D U+2640 U+FE0F";"🧛🏾
♀️"
"⊛ woman vampire: dark skin tone";"U+1F9DB U+1F3FF U+200D U+2640 U+FE0F";"🧛🏿
♀️"
"⊛ man vampire";"U+1F9DB U+200D U+2642 U+FE0F";"🧛
♂️"
"⊛ man vampire: light skin tone";"U+1F9DB U+1F3FB U+200D U+2642 U+FE0F";"🧛🏻
♂️"
"⊛ man vampire: medium-light skin tone";"U+1F9DB U+1F3FC U+200D U+2642 U+FE0F";"🧛🏼
♂️"
"⊛ man vampire: medium skin tone";"U+1F9DB U+1F3FD U+200D U+2642 U+FE0F";"🧛🏽
♂️"
"⊛ man vampire: medium-dark skin tone";"U+1F9DB U+1F3FE U+200D U+2642 U+FE0F";"🧛🏾
♂️"
"⊛ man vampire: dark skin tone";"U+1F9DB U+1F3FF U+200D U+2642 U+FE0F";"🧛🏿
♂️"
"⊛ merperson";"U+1F9DC";"🧜"
"⊛ merperson: light skin tone";"U+1F9DC U+1F3FB";"🧜🏻"
"⊛ merperson: medium-light skin tone";"U+1F9DC U+1F3FC";"🧜🏼"
"⊛ merperson: medium skin tone";"U+1F9DC U+1F3FD";"🧜🏽"
"⊛ merperson: medium-dark skin tone";"U+1F9DC U+1F3FE";"🧜🏾"
"⊛ merperson: dark skin tone";"U+1F9DC U+1F3FF";"🧜🏿"
"⊛ mermaid";"U+1F9DC U+200D U+2640 U+FE0F";"🧜
♀️"
"⊛ mermaid: light skin tone";"U+1F9DC U+1F3FB U+200D U+2640 U+FE0F";"🧜🏻
♀️"
"⊛ mermaid: medium-light skin tone";"U+1F9DC U+1F3FC U+200D U+2640 U+FE0F";"🧜🏼
♀️"
"⊛ mermaid: medium skin tone";"U+1F9DC U+1F3FD U+200D U+2640 U+FE0F";"🧜🏽
♀️"
"⊛ mermaid: medium-dark skin tone";"U+1F9DC U+1F3FE U+200D U+2640 U+FE0F";"🧜🏾
♀️"
"⊛ mermaid: dark skin tone";"U+1F9DC U+1F3FF U+200D U+2640 U+FE0F";"🧜🏿
♀️"
"⊛ merman";"U+1F9DC U+200D U+2642 U+FE0F";"🧜
♂️"
"⊛ merman: light skin tone";"U+1F9DC U+1F3FB U+200D U+2642 U+FE0F";"🧜🏻
♂️"
"⊛ merman: medium-light skin tone";"U+1F9DC U+1F3FC U+200D U+2642 U+FE0F";"🧜🏼
♂️"
"⊛ merman: medium skin tone";"U+1F9DC U+1F3FD U+200D U+2642 U+FE0F";"🧜🏽
♂️"
"⊛ merman: medium-dark skin tone";"U+1F9DC U+1F3FE U+200D U+2642 U+FE0F";"🧜🏾
♂️"
"⊛ merman: dark skin tone";"U+1F9DC U+1F3FF U+200D U+2642 U+FE0F";"🧜🏿
♂️"
"⊛ elf";"U+1F9DD";"🧝"
"⊛ elf: light skin tone";"U+1F9DD U+1F3FB";"🧝🏻"
"⊛ elf: medium-light skin tone";"U+1F9DD U+1F3FC";"🧝🏼"
"⊛ elf: medium skin tone";"U+1F9DD U+1F3FD";"🧝🏽"
"⊛ elf: medium-dark skin tone";"U+1F9DD U+1F3FE";"🧝🏾"
"⊛ elf: dark skin tone";"U+1F9DD U+1F3FF";"🧝🏿"
"⊛ woman elf";"U+1F9DD U+200D U+2640 U+FE0F";"🧝
♀️"
"⊛ woman elf: light skin tone";"U+1F9DD U+1F3FB U+200D U+2640 U+FE0F";"🧝🏻
♀️"
"⊛ woman elf: medium-light skin tone";"U+1F9DD U+1F3FC U+200D U+2640 U+FE0F";"🧝🏼
♀️"
"⊛ woman elf: medium skin tone";"U+1F9DD U+1F3FD U+200D U+2640 U+FE0F";"🧝🏽
♀️"
"⊛ woman elf: medium-dark skin tone";"U+1F9DD U+1F3FE U+200D U+2640 U+FE0F";"🧝🏾
♀️"
"⊛ woman elf: dark skin tone";"U+1F9DD U+1F3FF U+200D U+2640 U+FE0F";"🧝🏿
♀️"
"⊛ man elf";"U+1F9DD U+200D U+2642 U+FE0F";"🧝
♂️"
"⊛ man elf: light skin tone";"U+1F9DD U+1F3FB U+200D U+2642 U+FE0F";"🧝🏻
♂️"
"⊛ man elf: medium-light skin tone";"U+1F9DD U+1F3FC U+200D U+2642 U+FE0F";"🧝🏼
♂️"
"⊛ man elf: medium skin tone";"U+1F9DD U+1F3FD U+200D U+2642 U+FE0F";"🧝🏽
♂️"
"⊛ man elf: medium-dark skin tone";"U+1F9DD U+1F3FE U+200D U+2642 U+FE0F";"🧝🏾
♂️"
"⊛ man elf: dark skin tone";"U+1F9DD U+1F3FF U+200D U+2642 U+FE0F";"🧝🏿
♂️"
"⊛ genie";"U+1F9DE";"🧞"
"⊛ woman genie";"U+1F9DE U+200D U+2640 U+FE0F";"🧞
♀️"
"⊛ man genie";"U+1F9DE U+200D U+2642 U+FE0F";"🧞
♂️"
"⊛ zombie";"U+1F9DF";"🧟"
"⊛ woman zombie";"U+1F9DF U+200D U+2640 U+FE0F";"🧟
♀️"
"⊛ man zombie";"U+1F9DF U+200D U+2642 U+FE0F";"🧟
♂️"
"person frowning";"U+1F64D";"🙍"
"person frowning: light skin tone";"U+1F64D U+1F3FB";"🙍🏻"
"person frowning: medium-light skin tone";"U+1F64D U+1F3FC";"🙍🏼"
"person frowning: medium skin tone";"U+1F64D U+1F3FD";"🙍🏽"
"person frowning: medium-dark skin tone";"U+1F64D U+1F3FE";"🙍🏾"
"person frowning: dark skin tone";"U+1F64D U+1F3FF";"🙍🏿"
"man frowning";"U+1F64D U+200D U+2642 U+FE0F";"🙍
♂️"
"man frowning: light skin tone";"U+1F64D U+1F3FB U+200D U+2642 U+FE0F";"🙍🏻
♂️"
"man frowning: medium-light skin tone";"U+1F64D U+1F3FC U+200D U+2642 U+FE0F";"🙍🏼
♂️"
"man frowning: medium skin tone";"U+1F64D U+1F3FD U+200D U+2642 U+FE0F";"🙍🏽
♂️"
"man frowning: medium-dark skin tone";"U+1F64D U+1F3FE U+200D U+2642 U+FE0F";"🙍🏾
♂️"
"man frowning: dark skin tone";"U+1F64D U+1F3FF U+200D U+2642 U+FE0F";"🙍🏿
♂️"
"woman frowning";"U+1F64D U+200D U+2640 U+FE0F";"🙍
♀️"
"woman frowning: light skin tone";"U+1F64D U+1F3FB U+200D U+2640 U+FE0F";"🙍🏻
♀️"
"woman frowning: medium-light skin tone";"U+1F64D U+1F3FC U+200D U+2640 U+FE0F";"🙍🏼
♀️"
"woman frowning: medium skin tone";"U+1F64D U+1F3FD U+200D U+2640 U+FE0F";"🙍🏽
♀️"
"woman frowning: medium-dark skin tone";"U+1F64D U+1F3FE U+200D U+2640 U+FE0F";"🙍🏾
♀️"
"woman frowning: dark skin tone";"U+1F64D U+1F3FF U+200D U+2640 U+FE0F";"🙍🏿
♀️"
"person pouting";"U+1F64E";"🙎"
"person pouting: light skin tone";"U+1F64E U+1F3FB";"🙎🏻"
"person pouting: medium-light skin tone";"U+1F64E U+1F3FC";"🙎🏼"
"person pouting: medium skin tone";"U+1F64E U+1F3FD";"🙎🏽"
"person pouting: medium-dark skin tone";"U+1F64E U+1F3FE";"🙎🏾"
"person pouting: dark skin tone";"U+1F64E U+1F3FF";"🙎🏿"
"man pouting";"U+1F64E U+200D U+2642 U+FE0F";"🙎
♂️"
"man pouting: light skin tone";"U+1F64E U+1F3FB U+200D U+2642 U+FE0F";"🙎🏻
♂️"
"man pouting: medium-light skin tone";"U+1F64E U+1F3FC U+200D U+2642 U+FE0F";"🙎🏼
♂️"
"man pouting: medium skin tone";"U+1F64E U+1F3FD U+200D U+2642 U+FE0F";"🙎🏽
♂️"
"man pouting: medium-dark skin tone";"U+1F64E U+1F3FE U+200D U+2642 U+FE0F";"🙎🏾
♂️"
"man pouting: dark skin tone";"U+1F64E U+1F3FF U+200D U+2642 U+FE0F";"🙎🏿
♂️"
"woman pouting";"U+1F64E U+200D U+2640 U+FE0F";"🙎
♀️"
